Binary,LLC_Access,LLC_Hit,LLC_Miss,LLC_HitRate,LLC_MissRate,IPC,Total instructions,Miss/KiloInst,IPC/IPC(LRU)
champsim_llc_1024s_16w_bip_403.gcc-17B,2259231,46842,2212389,2.07%,97.93%,0.4047,50000000,44.25,1.00973053892216
champsim_llc_1024s_16w_bip_429.mcf-51B,4488284,809007,3679277,18.02%,81.98%,0.1323,50000000,73.59,1.09158415841584
champsim_llc_1024s_16w_bip_470.lbm-1274B,2491028,159445,2331583,6.40%,93.60%,0.6328,50000000,46.63,1.03196347031963
champsim_llc_1024s_16w_bip_471.omnetpp-188B,1527118,155543,1371575,10.19%,89.81%,0.2915,50000000,27.43,1.01180145782714
champsim_llc_1024s_16w_drrip_403.gcc-17B,2259302,54708,2204594,2.42%,97.58%,0.4045,50000000,44.09,1.00923153692615
champsim_llc_1024s_16w_drrip_429.mcf-51B,4484656,945348,3539308,21.08%,78.92%,0.1237,50000000,70.79,1.02062706270627
champsim_llc_1024s_16w_drrip_470.lbm-1274B,2491016,723496,1767520,29.04%,70.96%,0.6124,50000000,35.35,0.998695368558382
champsim_llc_1024s_16w_drrip_471.omnetpp-188B,1527063,304177,1222886,19.92%,80.08%,0.3005,50000000,24.46,1.04304061089899
champsim_llc_1024s_16w_fifo_403.gcc-17B,2259430,983785,1275645,43.54%,56.46%,0.4001,50000000,25.51,0.998253493013972
champsim_llc_1024s_16w_fifo_429.mcf-51B,4487880,1002771,3485109,22.34%,77.66%,0.1201,50000000,69.70,0.990924092409241
champsim_llc_1024s_16w_fifo_470.lbm-1274B,2491022,1066857,1424165,42.83%,57.17%,0.6131,50000000,28.48,0.999836921069798
champsim_llc_1024s_16w_fifo_471.omnetpp-188B,1527087,498073,1029014,32.62%,67.38%,0.2896,50000000,20.58,1.00520652551198
champsim_llc_1024s_16w_lru_403.gcc-17B,2259440,987188,1272252,43.69%,56.31%,0.4008,50000000,25.45,1
champsim_llc_1024s_16w_lru_429.mcf-51B,4485302,1062923,3422379,23.70%,76.30%,0.1212,50000000,68.45,1
champsim_llc_1024s_16w_lru_470.lbm-1274B,2491016,1066849,1424167,42.83%,57.17%,0.6132,50000000,28.48,1
champsim_llc_1024s_16w_lru_471.omnetpp-188B,1527078,511742,1015336,33.51%,66.49%,0.2881,50000000,20.31,1
champsim_llc_1024s_16w_mru_403.gcc-17B,2259161,31394,2227767,1.39%,98.61%,0.4091,50000000,44.56,1.02070858283433
champsim_llc_1024s_16w_mru_429.mcf-51B,4487027,50332,4436695,1.12%,98.88%,0.1161,50000000,88.73,0.957920792079208
champsim_llc_1024s_16w_mru_470.lbm-1274B,2491018,6163,2484855,0.25%,99.75%,0.6145,50000000,49.70,1.00212002609263
champsim_llc_1024s_16w_mru_471.omnetpp-188B,1527171,61909,1465262,4.05%,95.95%,0.2781,50000000,29.31,0.965289829920167
champsim_llc_1024s_16w_random_403.gcc-17B,2259174,29337,2229837,1.30%,98.70%,0.4094,50000000,44.60,1.02145708582834
champsim_llc_1024s_16w_random_429.mcf-51B,4487572,636566,3851006,14.19%,85.81%,0.1292,50000000,77.02,1.06600660066007
champsim_llc_1024s_16w_random_470.lbm-1274B,2491012,405,2490607,0.02%,99.98%,0.6134,50000000,49.81,1.0003261578604
champsim_llc_1024s_16w_random_471.omnetpp-188B,1527091,124853,1402238,8.18%,91.82%,0.2884,50000000,28.04,1.0010413051024
champsim_llc_1024s_16w_ship_403.gcc-17B,2259209,82501,2176708,3.65%,96.35%,0.405,50000000,43.53,1.01047904191617
champsim_llc_1024s_16w_ship_429.mcf-51B,4487995,1117387,3370608,24.90%,75.10%,0.1277,50000000,67.41,1.0536303630363
champsim_llc_1024s_16w_ship_470.lbm-1274B,2491012,447043,2043969,17.95%,82.05%,0.6099,50000000,40.88,0.994618395303327
champsim_llc_1024s_16w_ship_471.omnetpp-188B,1527200,473446,1053754,31.00%,69.00%,0.2992,50000000,21.08,1.03852828878862
champsim_llc_1024s_16w_srrip_403.gcc-17B,2259210,30929,2228281,1.37%,98.63%,0.4102,50000000,44.57,1.02345309381238
champsim_llc_1024s_16w_srrip_429.mcf-51B,4488698,727992,3760706,16.22%,83.78%,0.1314,50000000,75.21,1.08415841584158
champsim_llc_1024s_16w_srrip_470.lbm-1274B,2491030,2134,2488896,0.09%,99.91%,0.614,50000000,49.78,1.00130463144162
champsim_llc_1024s_16w_srrip_471.omnetpp-188B,1527105,145232,1381873,9.51%,90.49%,0.2893,50000000,27.64,1.00416522040958
champsim_llc_2048s_16w_bip_403.gcc-17B,2259148,63149,2195999,2.80%,97.20%,0.4196,50000000,43.92,1.03809995051954
champsim_llc_2048s_16w_bip_429.mcf-51B,4489687,1420054,3069633,31.63%,68.37%,0.1503,50000000,61.39,1.16331269349845
champsim_llc_2048s_16w_bip_470.lbm-1274B,2491021,161816,2329205,6.50%,93.50%,0.6342,50000000,46.58,1.0328990228013
champsim_llc_2048s_16w_bip_471.omnetpp-188B,1527059,269068,1257991,17.62%,82.38%,0.3054,50000000,25.16,0.929963459196102
champsim_llc_2048s_16w_drrip_403.gcc-17B,2259291,177091,2082200,7.84%,92.16%,0.4127,50000000,41.64,1.02102919346858
champsim_llc_2048s_16w_drrip_429.mcf-51B,4485994,1145677,3340317,25.54%,74.46%,0.1327,50000000,66.81,1.02708978328173
champsim_llc_2048s_16w_drrip_470.lbm-1274B,2491029,937699,1553330,37.64%,62.36%,0.6121,50000000,31.07,0.996905537459283
champsim_llc_2048s_16w_drrip_471.omnetpp-188B,1527082,593529,933553,38.87%,61.13%,0.3246,50000000,18.67,0.988428745432399
champsim_llc_2048s_16w_fifo_403.gcc-17B,2259343,990271,1269072,43.83%,56.17%,0.4034,50000000,25.38,0.998020781791193
champsim_llc_2048s_16w_fifo_429.mcf-51B,4486801,1255915,3230886,27.99%,72.01%,0.1262,50000000,64.62,0.976780185758514
champsim_llc_2048s_16w_fifo_470.lbm-1274B,2491021,1066856,1424165,42.83%,57.17%,0.6139,50000000,28.48,0.999837133550489
champsim_llc_2048s_16w_fifo_471.omnetpp-188B,1527037,680610,846427,44.57%,55.43%,0.3271,50000000,16.93,0.996041412911084
champsim_llc_2048s_16w_lru_403.gcc-17B,2259366,993466,1265900,43.97%,56.03%,0.4042,50000000,25.32,1
champsim_llc_2048s_16w_lru_429.mcf-51B,4484621,1377373,3107248,30.71%,69.29%,0.1292,50000000,62.14,1
champsim_llc_2048s_16w_lru_470.lbm-1274B,2491009,1066852,1424157,42.83%,57.17%,0.614,50000000,28.48,1
champsim_llc_2048s_16w_lru_471.omnetpp-188B,1527103,696719,830384,45.62%,54.38%,0.3284,50000000,16.61,1
champsim_llc_2048s_16w_mru_403.gcc-17B,2259199,60358,2198841,2.67%,97.33%,0.4295,50000000,43.98,1.06259277585354
champsim_llc_2048s_16w_mru_429.mcf-51B,4487110,89379,4397731,1.99%,98.01%,0.117,50000000,87.95,0.905572755417957
champsim_llc_2048s_16w_mru_470.lbm-1274B,2491024,11236,2479788,0.45%,99.55%,0.6155,50000000,49.60,1.00244299674267
champsim_llc_2048s_16w_mru_471.omnetpp-188B,1527030,120466,1406564,7.89%,92.11%,0.2851,50000000,28.13,0.868148599269184
champsim_llc_2048s_16w_random_403.gcc-17B,2259304,55932,2203372,2.48%,97.52%,0.4292,50000000,44.07,1.06185056902524
champsim_llc_2048s_16w_random_429.mcf-51B,4488717,952627,3536090,21.22%,78.78%,0.1372,50000000,70.72,1.06191950464396
champsim_llc_2048s_16w_random_470.lbm-1274B,2491026,629,2490397,0.03%,99.97%,0.6142,50000000,49.81,1.00032573289902
champsim_llc_2048s_16w_random_471.omnetpp-188B,1527106,217736,1309370,14.26%,85.74%,0.3003,50000000,26.19,0.914433617539586
champsim_llc_2048s_16w_ship_403.gcc-17B,2259397,684332,1575065,30.29%,69.71%,0.4131,50000000,31.50,1.02201880257298
champsim_llc_2048s_16w_ship_429.mcf-51B,4487827,1627079,2860748,36.26%,63.74%,0.1413,50000000,57.21,1.09365325077399
champsim_llc_2048s_16w_ship_470.lbm-1274B,2491031,789547,1701484,31.70%,68.30%,0.6119,50000000,34.03,0.996579804560261
champsim_llc_2048s_16w_ship_471.omnetpp-188B,1527073,675770,851303,44.25%,55.75%,0.3267,50000000,17.03,0.994823386114494
champsim_llc_2048s_16w_srrip_403.gcc-17B,2259261,57943,2201318,2.56%,97.44%,0.4301,50000000,44.03,1.06407718951014
champsim_llc_2048s_16w_srrip_429.mcf-51B,4487684,1212472,3275212,27.02%,72.98%,0.1456,50000000,65.50,1.12693498452012
champsim_llc_2048s_16w_srrip_470.lbm-1274B,2491021,3021,2488000,0.12%,99.88%,0.6148,50000000,49.76,1.00130293159609
champsim_llc_2048s_16w_srrip_471.omnetpp-188B,1527103,257596,1269507,16.87%,83.13%,0.3033,50000000,25.39,0.923568818514007
champsim_llc_4096s_16w_bip_403.gcc-17B,2259294,108853,2150441,4.82%,95.18%,0.4404,50000000,43.01,1.07336095539849
champsim_llc_4096s_16w_bip_429.mcf-51B,4488989,2205251,2283738,49.13%,50.87%,0.1791,50000000,45.67,1.28387096774194
champsim_llc_4096s_16w_bip_470.lbm-1274B,2491010,185653,2305357,7.45%,92.55%,0.6349,50000000,46.11,1.0213963963964
champsim_llc_4096s_16w_bip_471.omnetpp-188B,1527110,499476,1027634,32.71%,67.29%,0.3332,50000000,20.55,0.905680891546616
champsim_llc_4096s_16w_drrip_403.gcc-17B,2259320,201586,2057734,8.92%,91.08%,0.422,50000000,41.15,1.02851572020473
champsim_llc_4096s_16w_drrip_429.mcf-51B,4489229,2080625,2408604,46.35%,53.65%,0.1714,50000000,48.17,1.22867383512545
